Address Space,IP Query,Prefix,Forest,EOP DC,IPAM DC,Region,Title,New Title,Prefix ID
Default,2a01:4180:c051:840::,2a01:4180:c051:840::/64,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv6_ILO - IPV6_B_MGMTILO","EOP: GER01-LEJ - IPv6_ILO - IPV6_B_MGMTILO",cdf63864-32c6-457e-91b6-fdff5f30becc
Default,25.157.160.0,25.157.160.0/24,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_SONCAP","EOP: GER01-LEJ - IPv4_CAP - IPV4_SONCAP",d4fa15e5-0d37-4143-bdd8-4c36df0c491d
Default,25.157.224.0,25.157.224.0/24,GER01,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GER01 - IPv4_CAP - IPV4_SONCAPILO","EOP: GER01-LEJ - IPv4_CAP - IPV4_SONCAPILO",ec58c74f-6b28-42fa-ac69-0efa9a4cb26e
Default,21.3.78.5,21.3.78.0/24,GLS01,HK2,HK2,East Asia,"EOP: APC-HK2SON03 - IPv4_CAP - IPV4_SONCAP","EOP: GLS01-HK2SON03 - IPv4_CAP - IPV4_SONCAP",765e6fc8-9acd-46b6-a33e-7f37c7960b86
Default,23.103.155.128,23.103.155.128/27,GLS01,HK2,HK2,East Asia,"EOP: APC-HK2SON03 - IPv4_Anchor - HRIGBL","EOP: GLS01-HK2SON03 - IPv4_Anchor - HRIGBL",49702c4c-9147-48d5-9332-eef242ed9f5f
Default,2a01:111:f400:ff8e::,2a01:111:f400:ff8e::/64,GLS01,HK2,HK2,East Asia,"EOP: APC-HK2SON03 - IPv6_Anchor - IPV6_HRIGBL","EOP: GLS01-HK2SON03 - IPv6_Anchor - IPV6_HRIGBL",f28c6083-46f3-4195-b411-4b3b4aa6258b
Default,2a01:111:e400:fc8e::,2a01:111:e400:fc8e::/64,GLS01,HK2,HK2,East Asia,"EOP: APC-HK2SON03 - IPv6_CAP - IPV6_SONCAP","EOP: GLS01-HK2SON03 - IPv6_CAP - IPV6_SONCAP",24258c3d-2cdb-4091-b9d0-d3e8c671f80c
Default,25.155.222.4,25.155.222.0/23,GLS01,SG2,SG2,Southeast Asia,"EOP: NAM-SG2SON03 - IPv4_CAP - GBL-ILO","EOP: GLS01-SG2SON03 - IPv4_CAP - GBL-ILO",8804cc24-dd14-4ab5-bcc5-dcefb45b1b74
Default,21.3.79.5,21.3.79.0/24,GLS01,SG2,SG2,Southeast Asia,"EOP: APC-SG2SON03 - IPv4_CAP - IPV4_SONCAP","EOP: GLS01-SG2SON03 - IPv4_CAP - IPV4_SONCAP",67652441-88ff-4555-9940-ecc66e0f69e5
Default,23.103.155.160,23.103.155.160/27,GLS01,SG2,SG2,Southeast Asia,"EOP: APC-SG2SON03 - IPv4_Anchor - HRIGBL","EOP: GLS01-SG2SON03 - IPv4_Anchor - HRIGBL",1875db8b-ee0f-4552-a23b-07501a6248ec
Default,2a01:111:f400:ff8f::,2a01:111:f400:ff8f::/64,GLS01,SG2,SG2,Southeast Asia,"EOP: APC-SG2SON03 - IPv6_Anchor - IPV6_HRIGBL","EOP: GLS01-SG2SON03 - IPv6_Anchor - IPV6_HRIGBL",4f22513a-95e7-4b5b-96b6-b82c33b43563
Default,2a01:111:e400:fc8f::,2a01:111:e400:fc8f::/64,GLS01,SG2,SG2,Southeast Asia,"EOP: APC-SG2SON03 - IPv6_CAP - IPV6_SONCAP","EOP: GLS01-SG2SON03 - IPv6_CAP - IPV6_SONCAP",68789221-adb0-4961-9c49-e9d0d31fc0c9
Default,25.157.216.4,25.157.216.0/23,GLS06,FRA,FRA20,Germany Central,"EOP: EUR-FR2Unknown - IPv4_CAP - IPv4_Unknown","EOP: GLS06-FRA - IPv4_CAP - IPv4_Unknown",297f0d14-6e81-43cd-9632-003e00cc0235
Default,25.157.152.5,25.157.152.0/23,GLS06,FRA,FRA20,Germany Central,"EOP: EUR-FR2Unknown - IPv4_CAP - IPv4_Unknown","EOP: GLS06-FRA - IPv4_CAP - IPv4_Unknown",8fbac71c-c315-4d2d-a3d3-c595b0f6770e
Default,51.5.80.128,51.5.80.128/27,GLS06,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GLS06 - IPv4_1101/1102 - HRIGBL","EOP: GLS06-LEJ - IPv4_1101/1102 - HRIGBL",59fdbb4f-34fb-4b28-aff9-92a733857f28
Default,2a01:4180:4051:0a00::,2a01:4180:4051:a00::/64,GLS06,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GLS06 - IPv6_1101/1102 - HRIGBL V6","EOP: GLS06-LEJ - IPv6_1101/1102 - HRIGBL V6",1a18c1fb-cc1d-48ad-b43f-9e0de7b80a22
Default,2a01:4180:c050:0461::,2a01:4180:c050:461::/64,GLS06,LEJ,LEJ20,Germany NorthEast,"EOP: GER-LE1GLS06 - IPv6_1101/1102 - IPV6_GBL","EOP: GLS06-LEJ - IPv6_1101/1102 - IPV6_GBL",81072a3d-93ab-43c9-ac26-078eaf4bb850
Default,25.157.218.4,25.157.218.0/23,GLS06,LEJ,LEJ20,Germany NorthEast,"EOP: EUR-LEJUnknown - IPv4_CAP - IPv4_Unknown","EOP: GLS06-LEJUnknown - IPv4_CAP - IPv4_Unknown",61ba4259-f70f-4f96-835f-d8736041862e
Default,25.157.154.5,25.157.154.0/23,GLS06,LEJ,LEJ20,Germany NorthEast,"EOP: EUR-LEJUnknown - IPv4_CAP - IPv4_Unknown","EOP: GLS06-LEJUnknown - IPv4_CAP - IPv4_Unknown",e6966de0-35d6-4e28-8705-a89615bdce0f
Default,52.100.168.0,52.100.168.0/24,NAM09,BY5,BY5,West US,"EOP: EUR-DX2ARE01 - IPv4_1501 - IPv4_1501","EOP: NAM09-BY5 - IPv4_1501 - IPv4_1501",5103c7bd-1cac-4fec-be3c-30c67d70a3f4
Default,10.233.196.5,10.233.196.0/23,SAP01,PS1,PUS01,Korea South 2,"EOP: APC-PU1SAP01 - IPv4_CAP - IPV4_SONCAP","EOP: SAP01-PS1 - IPv4_CAP - IPV4_SONCAP",03e324b1-7499-4244-ad15-e36a4126e82f
Default,2a01:111:f400:fec6::,2a01:111:f400:fec6::/64,SAP01,PS1,PUS01,,"EOP: APC-PU1SAP01 - IPv6_Anchor - SONARv6","EOP: SAP01-PS1 - IPv6_Anchor - SONARv6",13f36b0d-544d-4951-8ca9-815a760635ac
Default,40.107.226.0,40.107.226.0/24,SAP01,PU1,PUS01,Korea South 2,"EOP: APC-PS1SAP01 - IPv4_Sonar - IPv4_Sonar","EOP: SAP01-PU1 - IPv4_Sonar - IPv4_Sonar",666c0b30-6ab8-485c-bf97-c071b8f9287e
Default,40.94.79.0,40.94.79.0/24,SFR01,MR2,MRS20,France South,"EOP: EUR-PR2FRA01 - IPv4_Sonar - IPv4_Sonar","EOP: SFR01-MR2 - IPv4_Sonar - IPv4_Sonar",82d91ac7-bea6-42e3-8e44-22e3aea8dac2
Default,40.94.80.0,40.94.80.0/24,SFR01,PR2,PAR22,France Central,"EOP: EUR-MR2FRA01 - IPv4_Sonar - IPv4_Sonar","EOP: SFR01-PR2 - IPv4_Sonar - IPv4_Sonar",fced4af2-a5c6-446b-b661-4a4c2198b3d4
Default,2a01:111:e400:fc8a::,2a01:111:e400:fc8a::/64,SJP01,OSA,OSA20,Japan West,"EOP: APC-OS2SJP01 - IPv6_CAP - IPV6_SONCAP","EOP: SJP01-OSA - IPv6_CAP - IPV6_SONCAP",c1f27b6d-f703-4968-ac45-688cf03bf9c4
Default,2a01:111:e401:bc::,2a01:111:e401:bc::/64,SJP01,OSA,OSA20,Japan West,"EOP: APC-OS2SJP01 - IPv6_SonRest - IPV6_SONREST","EOP: SJP01-OSA - IPv6_SonRest - IPV6_SONREST",1547185b-efef-4375-bf92-9ec4f6a91d11
Default,20.128.20.4,20.128.20.0/25,SJP01,TYC,TYO20,Japan East,"EOP: APC-TYCJPN01 - IPv4_ILO - TBD","EOP: SJP01-TYCJPN01 - IPv4_ILO - TBD",f0cc6b9c-5c87-4382-859f-75c1f7e9b30f
Default,20.128.42.4,20.128.42.0/23,SNA03,DM6,DSM06,Central US,"EOP: NAM-DM6SNA01 - IPv4_ILO - TBD","EOP: SNA03-DM6SNA01 - IPv4_ILO - TBD",f0d9ec3c-9eba-4a3c-9338-6230443aed07
Default,157.56.209.144,157.56.209.144/29,SNA04,CO1,CO1,West US 2,"EOP: NAM-CO1SGC01 - IPv4_Anchor - IPv4_Anchor","EOP: SNA04-CO1SGC01 - IPv4_Anchor - IPv4_Anchor",4e7a9a0c-1ea6-4f35-8ee1-b2e8e063beed
Default,2a01:111:e400:fc97::,2a01:111:e400:fc97::/64,SNA04,CO1,CO1,West US 2,"EOP: APC-CO1SGC01 - IPv6_CAP - IPV6_SONCAP","EOP: SNA04-CO1SGC01 - IPv6_CAP - IPV6_SONCAP",9288a247-5845-4464-ab3b-392c944cfdc0
